PLAYER,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,BF(16-20),Runs(16-20),SR(16-20),BF(1-6),Runs(1-6),SR(1-6)
HH Pandya,66,61,24,1068,28.86,690,154.78,0,3,72,68,346,639,184.68,39,25,64.1
V Shankar,33,29,11,557,30.94,416,133.89,0,2,34,24,123,217,176.42,30,24,80
S Curran,9,8,4,95,23.75,55,172.72,0,1,13,3,29,65,224.14,10,20,200
CH Morris,61,40,20,517,27.21,328,157.62,0,2,37,27,204,359,175.98,7,18,257.14
N Pooran,7,6,0,168,28,107,157,0,0,10,14,26,21,80.77,9,16,177.78
PP Chawla,157,81,32,584,11.91,524,111.45,0,0,54,18,303,383,126.4,13,15,115.38
R Ashwin,139,52,17,375,10.71,339,110.61,0,0,32,10,192,249,129.69,26,12,46.15
AR Patel,82,63,21,796,18.95,630,126.34,0,0,47,35,241,355,147.3,13,11,84.62
K Gowtham,22,17,5,144,12,83,173.49,0,0,10,10,46,94,204.35,4,8,200
Mohammad Nabi,13,10,1,135,15,91,148.35,0,0,11,7,53,86,162.26,1,6,600
P Negi,50,35,9,365,14.03,289,126.29,0,0,27,16,157,226,143.95,6,5,83.33
R Tewatia,20,20,6,111,18.5,89,124.71,0,0,11,3,44,68,154.55,3,4,133.33
A Mishra,147,56,25,362,11.67,389,93.05,0,0,29,5,199,223,112.06,5,1,20
DJ Hooda,61,45,9,524,14.55,412,127.18,0,1,27,21,125,188,150.4,10,1,10
PJ Cummins,16,10,4,77,12.83,55,140,0,0,5,4,31,47,151.61,1,0,0
S Gopal,31,20,5,127,14.11,118,107.62,0,0,14,1,63,82,130.16,4,0,0
R Parag,7,5,0,160,32,126,126.98,0,1,17,5,29,59,203.45,4,0,0
